KO,G34369,G34415,G34450,G34481,G34510,G34569,G34647,G34393,G34421,G34458,G34499,G34524,G37547,G34402,G34430,G34473,G34500,G34533,G34621
K19545,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,1,0
K19547,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
K19548,301,487,450,255,122,417,456,844,500,416,410,631,369,457,506,412,282,658,212
K19549,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,3,2
K19550,8,48,18,12,2,17,20,19,23,10,24,39,8,36,11,6,4,13,16
K19551,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,1
K19553,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
K19554,0,3,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0
K19559,0,2,1,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0
K19560,0,819,3138,667,0,345,515,2,723,2723,442,105,1109,433,3238,309,0,2,620
K19561,33,18,51,52,1,29,28,6,56,73,47,24,43,12,68,52,6,2,35
K19562,90,1069,22,32,138,182,87,20,311,24,67,649,65,728,34,41,38,6,28
K19563,15,38,12,14,10,32,87,371,42,21,37,63,28,20,36,25,56,141,25
K19569,17,28,42,45,16,28,32,36,35,20,31,28,73,56,32,39,23,26,36
K19572,136,171,149,62,96,123,64,333,154,73,114,106,56,159,191,66,151,126,81
K19573,88,181,83,76,167,94,60,21,103,34,123,80,155,184,44,78,76,7,86
K19574,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
K19576,62,252,0,0,2,21,424,2283,47,0,48,607,0,80,0,0,354,1453,0
K19577,21,214,51,114,41,157,104,502,166,35,116,357,259,204,48,132,15,197,238
K19578,0,1,2,1,0,5,1,7,2,0,0,1,1,1,2,1,0,3,0
K19579,1,2,2,4,7,2,0,0,4,0,0,3,4,6,1,4,4,0,7
K19580,117,13,9,5,6,8,12,9,7,8,13,37,14,21,12,11,50,1,10
K19583,14,4,5,0,0,6,11,14,11,5,8,9,6,3,4,2,0,15,7
K19584,510,655,490,675,432,413,284,55,557,201,917,473,1083,831,300,623,364,107,519
K19585,6,654,46,60,6,394,166,304,278,12,32,644,524,395,43,59,45,387,284
K19586,36,190,30,27,11,124,61,133,91,4,17,198,188,134,16,25,114,106,110
K19587,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
K19588,24,48,35,22,55,60,125,126,90,22,131,40,73,89,17,15,44,123,87
K19589,58,315,66,51,87,103,73,12,190,29,160,208,122,292,47,42,38,6,55
K19590,0,0,0,0,2,0,0,7,1,0,0,2,0,0,0,0,0,2,0
K19591,241,695,554,901,287,687,442,597,814,495,893,481,1054,574,377,1055,311,372,1526
K19592,1,16,9,18,41,9,9,44,21,5,13,38,34,16,5,33,4,21,32
K19593,0,3,0,1,0,2,7,0,9,0,1,0,0,5,3,0,0,0,0
K19594,31,154,41,205,60,60,40,88,94,49,143,150,437,134,38,174,49,53,156
K19595,0,15,5,49,16,5,7,13,28,11,32,12,103,18,2,30,1,3,19
K19596,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0
K19597,25,52,39,94,1103,64,57,279,65,38,104,136,296,94,8,88,33,174,208
K19599,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
K19600,196,254,172,110,172,150,131,28,214,77,254,170,336,252,94,149,119,23,157
K19601,241,37,33,6,79,46,27,31,74,28,34,30,20,59,19,15,165,42,15
K19602,0,3,0,0,0,1,1,0,0,1,2,4,3,0,0,0,3,0,4
K19603,641,654,718,1033,766,611,561,111,931,352,1706,613,1876,1439,464,933,434,110,822
K19604,14,13,4,2,33,11,6,0,23,3,40,8,34,48,3,11,15,2,14
K19607,186,260,234,101,118,180,98,30,219,105,124,126,191,221,117,152,117,57,113
K19609,29,191,24,37,15,132,86,344,129,23,42,306,212,204,40,58,16,182,151
K19610,3,100,20,54,6,84,68,198,91,17,71,144,101,72,17,44,3,111,122
K19611,0,17,28,33,0,17,13,12,58,11,54,14,4,51,36,52,0,8,47
K19612,129,753,92,92,508,191,104,9,229,46,238,364,272,394,63,115,87,12,156
K19613,87,2921,47,48,281,300,62,12,521,12,71,884,101,691,39,51,36,10,44
K19614,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
K19615,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
K19616,0,3,0,1,0,0,4,16,1,1,2,2,6,0,0,1,1,3,0
K19617,0,3,0,0,0,5,3,2,3,1,3,3,0,2,0,1,3,3,0
K19618,0,6,0,2,4,9,3,13,0,2,0,5,4,3,3,0,0,9,4
K19619,68,506,32,47,105,129,69,7,226,13,128,310,145,420,43,43,46,2,81
K19620,0,30,8,35,1,83,35,14,83,14,28,9,22,29,34,120,0,17,125
K19621,2,2,2,4,4,13,5,2,4,4,4,8,2,4,2,9,4,1,9
K19622,0,2,2,1,2,1,3,0,1,2,0,2,4,2,1,0,4,0,0
K19623,6,13,3,17,6,24,21,29,22,11,12,21,18,13,14,32,8,19,29
K19624,12,19,18,5,5,6,9,13,11,8,16,1,2,5,6,7,12,5,7
K19625,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
K19626,4,6,17,6,7,11,14,1,12,9,11,8,3,9,9,4,5,9,9
K19627,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K19628,0,3,2,1,1,6,2,3,7,2,2,0,4,6,0,0,0,6,2
K19631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K19633,0,0,3,2,0,2,1,6,0,3,1,0,1,2,5,9,0,1,0
K19634,0,0,2,1,1,1,0,0,2,0,2,0,0,0,0,0,0,1,0
K19635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
K19636,9,0,10,2,2,4,7,0,6,4,5,2,5,2,3,1,3,0,1
K19638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K19640,2,2,0,12,0,2,1,3,3,0,15,0,6,2,0,3,0,5,0
K19641,103,211,107,144,26,131,160,230,137,66,148,136,158,185,54,192,98,169,295
K19642,7,5,6,10,12,8,9,7,13,7,15,13,16,9,7,7,4,4,2
K19646,0,2,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,1,1
K19647,6,42,42,7,3,50,58,118,53,58,28,35,11,22,41,32,9,126,11
K19653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K19654,6,4,13,4,0,4,4,6,6,4,8,20,2,9,11,15,6,1,2
K19656,555,1064,407,400,839,387,345,84,623,145,1100,497,957,910,277,346,401,53,540
K19657,0,3,0,3,1,6,1,1,2,2,4,2,1,4,0,2,0,0,0
K19658,67,329,148,59,25,283,191,139,374,154,159,220,74,197,177,95,58,113,146
K19659,17,8,9,12,12,4,8,26,2,5,15,18,12,10,4,4,14,14,3
K19660,1,19,11,0,3,23,19,32,16,19,4,38,8,12,41,2,5,40,1
K19661,36,113,53,76,24,70,160,105,90,54,130,72,115,98,57,152,39,59,210
K19662,9,13,28,23,18,18,12,0,18,10,17,9,25,17,14,22,19,0,9
K19663,9,2,3,8,7,7,3,0,3,4,4,4,13,4,1,3,3,2,1
K19664,5,206,56,48,56,118,179,181,101,122,169,138,199,89,38,129,22,147,64
K19665,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,2,0,1,2
K19666,1,0,1,0,0,2,2,6,2,1,0,2,0,4,0,1,9,4,1
K19667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K19668,110,213,214,228,88,190,203,126,165,116,352,241,431,257,142,195,99,151,190
K19669,0,2,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,2,0
K19670,1027,2511,1949,2154,431,1677,1895,3286,2513,1292,2917,1963,2358,2122,1379,4154,1132,2336,1741
K19671,510,1090,406,348,785,407,314,64,618,185,883,519,1023,907,283,325,343,79,467
K19672,435,916,305,261,360,315,262,60,494,118,677,420,604,746,239,254,286,80,329
K19673,344,987,219,189,313,309,229,65,465,114,400,349,449,600,171,163,232,57,186
K19674,887,893,613,416,863,553,499,157,829,273,1226,548,1184,1163,395,483,556,162,719
K19675,0,1,8,0,0,2,0,0,1,3,3,0,0,0,4,0,3,0,2
K19676,801,1642,661,613,689,545,476,122,996,249,1367,716,1462,1396,472,657,587,114,729
K19677,105,586,115,110,290,139,66,16,210,54,149,156,192,356,90,85,67,16,129
K19678,391,562,299,192,638,278,229,47,445,121,789,318,745,596,227,221,255,50,383
K19679,83,310,51,32,68,79,70,15,134,35,128,58,110,178,34,33,59,24,49
K19680,142,276,116,74,137,130,113,47,181,51,195,122,198,252,72,79,117,42,117
K19681,251,213,193,161,192,153,133,27,217,83,379,147,340,365,115,158,198,32,175
K19682,145,189,159,93,131,154,107,18,180,60,309,101,285,241,110,103,158,25,182
K19683,427,673,288,229,287,197,184,66,433,111,537,305,472,591,189,230,342,44,272
K19684,142,376,110,88,204,158,108,32,139,43,216,150,188,218,65,90,127,20,109
K19685,421,498,272,225,338,223,175,68,452,85,606,255,521,528,141,234,357,61,306
K19686,0,0,5,1,0,1,1,3,0,0,4,1,2,3,0,10,25,5,1
K19687,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,7,1,0
K19689,559,4316,2021,2302,364,2234,2658,2471,3573,1458,3873,2256,3098,2402,2155,4827,924,1418,3605
K19690,18,21,16,8,7,22,21,35,21,14,21,29,25,22,8,12,7,16,15
K19691,108,296,189,240,89,246,228,408,342,110,293,296,278,269,185,320,134,220,450
K19692,27,45,31,26,12,34,31,59,29,26,54,54,40,30,19,45,15,22,78
K19693,0,0,0,0,1,0,2,4,2,0,7,1,2,0,0,0,0,0,2
K19694,117,230,357,177,46,264,302,367,305,300,317,251,299,189,269,273,160,253,408
K19695,12,2,9,4,7,16,10,3,7,7,29,7,14,23,12,4,24,4,13
K19696,129,328,65,20,121,241,94,294,283,67,75,329,145,244,95,22,129,233,91
K19697,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2,2
K19701,58,92,43,46,21,146,138,144,99,77,119,132,116,110,62,57,66,125,106
K19702,30,44,20,26,4,54,90,40,52,29,42,33,40,34,13,34,18,27,85
K19703,17,42,30,13,32,42,31,12,42,19,34,31,55,58,10,21,37,12,54
K19704,47,43,32,36,25,47,29,17,46,16,44,38,40,63,11,29,30,14,34
K19705,0,0,4,3,2,0,0,0,1,1,0,0,2,1,0,5,4,1,5
K19706,54,258,6,13,20,89,25,8,144,14,21,271,28,339,16,19,16,7,34
K19707,48,35,17,27,20,43,74,244,31,22,60,51,29,30,28,61,47,127,15
K19708,4,1,2,3,9,1,5,0,4,0,21,1,15,9,1,0,4,0,4
K19709,12,39,38,24,4,46,9,22,78,32,31,13,17,22,48,41,13,30,17
K19710,84,464,280,158,47,405,645,1192,488,324,429,763,496,468,438,166,349,801,218
K19711,17,40,14,0,9,28,17,44,60,5,13,39,9,61,33,17,18,47,2
K19712,59,106,0,0,4,6,210,2162,18,0,39,316,1,98,1,0,381,892,0
K19713,148,187,76,65,24,175,119,166,190,57,89,215,52,185,128,112,176,142,80
K19714,100,154,118,93,1,115,110,395,153,84,212,168,122,152,86,173,93,299,42
K19715,606,483,689,539,68,460,537,1133,586,703,765,801,773,431,669,730,494,627,422
K19716,4,4,6,3,1,7,4,0,12,6,9,4,8,0,3,3,5,3,1
K19719,59,77,12,4,83,41,50,3,39,6,81,66,45,114,18,21,30,1,49
K19720,35,1028,31,35,113,130,37,6,186,14,52,289,53,276,17,31,17,14,39
K19721,36,378,33,60,23,90,352,418,95,37,227,132,97,200,21,107,34,668,63
K19728,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
K19729,6,2,13,15,6,12,12,5,17,6,16,7,24,16,10,20,7,4,11
K19730,26,176,24,43,43,16,11,1,20,11,28,43,55,64,22,16,16,0,23
K19731,7,7,7,22,0,15,16,9,10,7,19,16,37,12,2,14,18,12,35
K19732,0,2,1,1,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0
K19733,4,20,1,25,0,25,9,28,39,2,15,13,7,22,9,9,5,4,15
K19734,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0
K19736,19,45,35,71,15,58,65,176,49,41,75,50,103,35,18,80,30,53,189
K19737,84,355,41,41,119,97,60,24,117,22,94,114,109,132,37,52,46,6,44
K19742,15,135,22,63,12,143,88,165,232,18,78,57,65,124,106,165,37,162,232
K19743,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
K19744,96,0,0,0,25,0,1,0,0,0,3,0,1,0,0,0,46,0,2
K19745,2885,4667,6275,5028,728,2764,2830,4940,5060,5019,5366,6392,5481,3422,6957,5526,2381,2799,3236
K19746,494,1264,656,761,262,1007,724,853,1148,468,976,603,1027,1077,497,1352,467,754,1491
K19748,1,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0
K19749,0,0,7,1,0,1,0,0,1,1,2,1,1,1,2,0,0,0,0
K19750,116,253,85,57,154,118,70,15,186,49,197,188,167,263,71,69,87,16,96
K19751,115,391,38,34,191,107,62,8,148,19,163,122,159,262,41,38,59,5,87
K19752,51,296,84,48,88,86,42,27,111,26,110,71,136,85,43,54,53,9,53
K19753,129,443,100,72,141,124,81,21,294,41,204,305,201,420,66,64,86,20,81
K19754,190,384,194,197,227,154,145,22,286,74,348,177,378,287,111,128,131,35,201
K19755,0,0,10,0,7,6,6,2,2,3,8,0,8,5,2,4,3,2,0
K19756,129,132,63,79,125,95,90,11,115,42,203,86,197,212,60,54,76,23,117
K19757,72,183,39,33,96,61,44,10,54,27,92,86,64,117,26,36,58,7,35
K19758,40,51,21,11,91,46,59,6,79,17,150,32,137,80,43,33,40,7,62
K19759,78,545,53,26,196,122,74,5,181,31,196,153,167,221,48,25,39,2,85
K19760,264,243,149,147,167,110,120,59,227,55,231,144,283,292,101,114,271,74,151
K19761,22,125,9,6,21,46,22,5,72,1,15,127,12,113,11,8,22,6,7
K19762,4,2,5,0,0,1,0,3,0,1,2,0,5,2,0,4,0,0,2
K19763,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
K19765,20,23,8,2,13,13,8,3,15,4,21,25,15,33,3,7,15,1,8
K19770,12,71,42,10,11,26,12,13,15,6,13,11,21,24,13,6,6,5,5
K19771,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2
K19774,0,1,0,0,0,0,1,0,0,0,3,1,2,1,0,0,1,0,3
K19775,0,0,11,2,0,3,0,4,3,5,2,1,1,0,2,0,0,2,1
K19776,1,15,4,2,1,25,3,6,9,7,1,9,0,15,13,5,19,3,13
K19781,0,1,0,0,0,1,0,1,0,1,0,3,0,3,0,0,0,0,0
K19782,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,2,0
K19783,68,239,83,115,78,122,127,64,139,75,155,184,163,188,73,209,118,67,95
K19784,181,342,146,185,84,244,252,276,211,132,213,280,243,240,119,225,178,205,255
K19785,1,0,12,3,0,1,3,1,0,4,8,0,4,0,2,6,2,1,1
K19787,177,616,153,129,208,175,89,7,293,71,280,428,296,616,65,112,136,21,156
K19788,450,1335,275,241,400,430,280,192,705,160,622,935,590,1201,204,212,406,119,348
K19789,276,416,255,195,204,328,221,329,379,268,336,508,304,520,328,319,283,271,294
K19790,2,2,2,2,2,0,1,0,3,0,5,4,6,3,0,2,0,1,2
K19791,57,188,143,130,42,158,100,154,143,108,172,185,174,183,75,150,89,100,262
K19793,354,871,948,703,180,868,792,884,905,968,862,566,753,658,804,884,411,732,790
K19794,2,93,2,0,8,34,30,88,50,4,13,39,0,77,3,0,28,166,0
K19795,55,73,15,8,29,39,23,45,66,23,38,66,21,88,31,22,46,41,30
K19796,48,6,98,176,0,5,20,119,10,166,64,158,117,0,53,49,22,4,2
K19797,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0
K19799,11,2,6,0,4,4,5,5,3,5,4,7,3,6,4,1,11,6,0
K19800,187,414,124,57,91,162,74,40,271,51,110,347,114,492,67,61,139,27,60
K19801,460,1116,362,246,552,459,310,37,777,125,788,1006,731,1529,192,301,326,42,389
K19802,2391,3475,2040,1575,830,2425,2204,3856,3352,1614,2656,2853,2191,3151,1975,2511,2677,2963,2704
K19803,1,0,0,0,0,2,1,2,2,0,2,0,6,1,4,5,0,0,3
K19804,544,523,208,60,93,345,309,1084,340,204,197,774,292,403,210,97,422,655,259
K19806,3,0,0,0,0,3,1,1,0,1,1,1,4,1,0,2,2,0,1
K19807,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K19809,0,9,0,0,0,0,2,1,0,1,0,1,4,2,1,0,0,1,7
K19810,2366,640,359,223,413,780,368,1365,1006,257,407,1217,411,806,465,476,2054,529,476
K19811,10,12,8,2,6,20,8,12,11,5,8,6,12,16,7,2,9,16,21
K19813,263,420,269,275,66,441,318,332,502,328,315,432,249,413,543,459,200,321,222
K19814,0,6,4,4,0,3,10,5,8,1,7,4,10,8,5,15,0,0,19
K19815,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
K19818,0,12,3,3,1,6,1,0,6,7,4,5,5,17,5,11,3,1,1
K19819,6,2,2,3,2,3,0,2,4,0,8,0,1,4,0,1,2,6,3
K19820,0,10,5,10,1,7,8,17,14,2,15,2,2,9,2,5,0,27,5
K19821,2,0,4,1,0,3,2,1,1,0,4,0,1,0,2,2,3,1,2
K19825,0,4,2,10,0,3,3,1,10,4,11,2,0,2,6,11,0,0,11
K19826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K19827,0,1,1,1,1,2,2,0,0,0,3,0,2,0,0,1,6,0,2
K19828,99,495,95,105,110,157,121,73,239,47,223,356,193,448,74,66,92,70,117
K19830,2,3,5,0,0,1,1,1,2,0,2,2,0,8,0,0,0,0,0
K19832,3,1,2,1,7,7,1,0,3,2,2,2,0,6,1,0,5,1,1
K19833,35,18,17,15,12,25,7,9,32,16,25,15,19,30,18,5,49,3,10
K19836,0,1,2,2,0,2,0,3,4,5,0,2,2,1,0,0,0,1,2
K19837,25,80,109,14,8,142,51,78,198,92,35,40,38,61,135,53,21,82,32
K19838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K19839,1,0,0,1,3,1,0,0,3,2,0,0,0,0,0,0,2,0,0
K19840,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
K19841,2,2,9,6,7,4,5,1,7,7,7,6,10,11,4,3,3,0,3
K19842,1,0,1,1,0,1,1,0,2,1,0,1,0,1,0,1,2,0,0
K19844,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K19852,23,7,27,13,5,15,8,8,17,7,15,14,33,14,9,17,11,7,9
K19854,180,112,95,79,16,91,68,137,120,93,76,160,121,87,116,129,121,98,98
K19856,26,22,47,24,6,19,34,53,20,57,15,47,36,14,26,33,27,33,7
K19860,1,5,7,8,2,10,5,4,16,6,9,0,28,7,7,4,12,7,12
K19862,3,8,5,0,2,13,3,3,9,2,24,5,15,12,2,3,12,5,8
K19863,0,1,0,0,0,1,0,0,1,0,1,2,2,0,0,0,0,0,1
K19865,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
K19866,2,3,3,4,0,3,3,2,2,1,2,4,5,10,1,1,3,7,2
K19867,2,0,6,3,1,3,3,0,10,5,4,3,2,10,2,2,2,2,2
K19868,19,47,24,28,22,21,13,7,28,14,31,29,29,37,7,24,24,3,23
K19869,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K19870,78,147,80,64,96,61,64,6,73,25,101,60,152,131,38,55,41,8,73
K19871,51,59,29,6,25,61,7,16,60,10,33,133,17,120,15,8,173,38,10
K19872,10,0,14,1,2,4,7,4,2,5,6,0,10,1,3,3,12,2,5
K19873,46,9,13,9,9,16,11,40,27,21,6,55,19,12,11,6,45,23,9
K19874,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
K19876,0,3,10,0,1,15,1,0,1,8,4,3,0,5,2,0,10,0,4
K19877,275,321,266,278,43,356,243,245,351,286,367,296,337,240,336,533,173,119,221
K19878,0,0,0,1,0,1,0,0,1,0,4,0,0,3,0,0,2,0,0
K19881,4,17,2,3,3,2,3,0,4,0,4,1,10,5,3,2,5,0,3
K19882,771,428,601,312,493,467,263,144,566,264,432,333,586,694,247,349,495,163,251
K19891,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
K19892,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
K19893,0,1,0,0,2,5,6,0,0,0,5,2,2,6,4,0,2,0,5
K19897,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0
K19899,0,0,0,0,1,1,1,2,2,0,0,0,2,2,1,0,1,0,2
K19901,2,0,1,0,1,3,2,0,1,0,3,0,2,1,0,1,0,0,0
K19902,0,1,0,0,0,3,0,1,1,0,2,1,1,1,2,0,1,0,1
K19903,0,0,1,2,0,3,0,0,0,1,1,0,1,0,0,1,0,0,0
K19904,2,4,1,0,0,5,2,0,1,0,2,3,2,2,0,1,4,0,3
K19905,1,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0
K19906,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
K19907,6,3,2,6,1,11,7,0,6,6,9,2,14,2,5,3,17,0,4
K19908,1,1,1,1,0,1,0,0,2,0,0,0,2,0,1,0,1,0,0
K19909,34,14,24,18,37,19,15,4,22,13,32,19,26,28,19,10,18,2,7
K19910,0,1,0,0,1,1,3,1,0,0,0,0,1,1,3,0,0,0,0
K19915,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
K19916,3,0,4,2,0,2,1,0,1,2,0,1,3,2,2,2,0,0,1
K19917,3,6,15,8,2,8,4,0,1,3,5,4,11,5,6,5,3,1,2
K19918,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
K19919,9,10,26,23,9,28,16,0,18,7,52,16,36,22,14,25,20,2,19
K19921,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,4
K19922,0,1,1,0,1,0,0,0,1,1,6,0,0,0,0,0,3,0,0
K19929,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
K19930,0,2,0,0,0,0,0,3,2,0,6,0,0,2,0,0,0,0,2
K19931,1,0,3,1,1,0,1,1,1,1,7,1,0,11,0,0,7,0,0
K19932,114,45,103,35,49,76,71,37,77,63,54,21,78,85,55,35,103,35,37
K19933,5,0,2,0,0,4,3,8,7,0,17,2,5,17,1,5,20,7,2
K19934,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
K19936,18,18,15,16,9,10,17,1,13,5,27,12,32,22,15,10,22,2,19
K19937,16,16,16,11,11,16,8,1,13,4,29,5,29,13,15,20,7,0,21
K19938,35,291,62,26,62,56,40,7,106,42,52,46,25,76,212,17,11,11,24
K19941,29,19,33,31,11,31,16,21,32,18,18,19,30,19,9,32,33,11,19
K19942,311,329,215,159,320,232,199,54,366,116,426,251,448,512,183,161,299,46,203
K19944,86,239,88,33,111,106,62,22,132,35,130,91,126,152,55,31,67,29,74
K19945,0,0,1,0,0,0,0,0,0,2,2,1,0,0,1,0,2,0,0
K19947,120,109,239,300,117,148,116,23,195,82,399,126,483,269,125,253,132,28,210
K19948,6,3,5,7,0,7,3,3,4,2,13,10,12,26,7,2,18,1,4
K19949,169,185,268,172,284,295,211,32,261,160,425,135,284,418,172,128,188,41,177
K19950,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K19951,66,129,63,58,45,62,38,37,104,42,79,123,93,131,38,43,42,20,52
K19952,1,16,7,1,4,2,2,5,4,7,2,1,3,8,2,2,5,3,5
K19953,54,22,49,51,42,45,30,7,42,32,61,31,59,41,31,42,54,10,34
K19954,218,296,211,204,58,325,294,610,391,195,227,307,208,278,256,355,162,329,248
K19955,1,10,7,5,1,6,4,11,8,9,6,11,4,6,4,2,2,8,5
K19956,0,8,12,26,1,13,34,18,19,12,23,2,9,2,90,12,0,32,18
K19961,12,55,21,13,1,32,22,5,51,14,32,37,28,24,21,46,9,4,26
K19962,4,6,37,61,6,6,11,14,20,23,30,23,41,4,25,73,7,9,12
K19963,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,9,1
K19965,0,2,0,0,0,5,1,3,6,1,4,0,3,0,11,0,0,2,2
K19966,302,936,321,62,198,535,360,1362,828,161,186,427,101,845,324,245,703,1246,229
K19967,118,435,215,85,91,512,272,327,466,189,156,221,132,388,193,210,119,338,156
K19969,34,37,71,71,66,46,28,39,59,52,134,66,143,73,42,82,36,11,65
K19970,2,3,2,4,1,9,13,8,3,5,23,4,13,10,3,2,9,6,5
K19971,1,2,0,0,0,0,0,9,1,0,0,5,0,6,0,0,2,8,0
K19972,0,3,3,1,3,6,8,0,3,7,3,4,1,2,6,4,0,1,7
K19973,5,64,27,67,2,71,84,56,84,35,113,53,74,74,29,77,12,44,26
K19975,2,14.5,9,3,0,19,23.5,6,26.5,5.5,13.5,22,18,7.5,11,5,6,7.5,3
K19976,5,337.5,139,169,32,308,312.5,229,368.5,165.5,398.5,146,268,263.5,222,235,31,236.5,192
K19977,78,47,107,104,49,89,49,5,59,56,85,33,175,107,66,104,18,7,36
K19978,0,13,1,1,0,0,4,0,1,1,2,6,2,1,1,3,2,0,0
K19982,15,57,25,18,4,28,40,43,40,22,23,19,34,21,21,25,7,35,16
K19983,47,18,14,8,8,14,6,1,16,4,14,16,19,20,8,12,54,6,5
K19984,1,429,3,2,40,30,3,4,51,0,9,55,4,45,5,0,21,2,6
K19985,23,26,14,3,5,6,4,0,5,2,18,8,13,15,4,3,30,5,4
K19986,0,13,0,0,0,1,0,0,1,0,1,0,2,4,0,0,4,3,1
K19993,2,3,17,2,0,7,5,9,3,3,2,2,3,0,4,2,3,1,2
K19995,14,462,2,0,36,64,15,0,135,2,7,219,1,208,7,1,26,0,2
K19996,1,11,9,1,5,6,2,0,2,2,18,5,13,11,5,8,4,0,5
K19997,304,130,317,413,22,163,173,227,257,332,300,249,303,173,311,498,230,141,213
K19998,167,823,110,112,212,202,105,22,375,65,153,599,249,722,77,99,113,23,78
K19999,0,0,3,3,0,1,1,0,0,0,6,0,3,0,0,2,0,0,3
K20002,0,53,0,0,7,6,0,0,3,0,0,5,2,5,0,0,0,0,0
K20003,62,277,65,44,112,106,71,13,205,31,130,199,131,275,58,69,72,9,67
K20007,20,11,14,15,17,16,13,3,15,11,16,10,22,7,10,20,24,4,7
K20008,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
K20009,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
K20011,38,23,11,15,23,17,26,81,25,15,41,26,18,30,19,18,79,45,23
K20017,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
K20020,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
K20022,0,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0
K20023,296,818,551,198,150,928,706,1345,1169,531,421,872,385,811,806,401,274,1071,345
K20024,0,960,3388,1944,0,599,739,0,1005,3341,1021,146,2194,462,3311,2311,1,1,401
K20026,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K20027,125,274,54,41,69,116,73,14,207,32,106,338,101,360,40,39,64,16,51
K20028,265,581,230,181,155,210,143,28,337,121,249,431,316,622,104,218,183,37,191
